# FSAE course centreline, digitized from skidpad_autocross_2026.png
# source_md5=ba199c283f630d51bc19b72da9b0f615
# grid_px=12.000 grid_ft=25.0 m_per_px=0.63500  (AUTO-CALIBRATED from the sheet)
# length_m=674.0  closed=False  R_min_m=4.50
# slalom_spacings_verified=False
s_m,x_m,y_m,kappa_1perm
235.0000,435.3201,20.5377,0.016162
236.0000,436.2875,20.7908,0.019205
237.0000,437.2596,21.0254,0.022442
238.0000,438.2368,21.2380,0.025875
239.0000,439.2190,21.4251,0.029492
240.0000,440.2064,21.5833,0.033266
241.0000,441.1985,21.7085,0.037145
242.0000,442.1945,21.7968,0.041052
243.0000,443.1933,21.8441,0.044879
244.0000,444.1932,21.8467,0.048488
245.0000,445.1921,21.8008,0.051719
246.0000,446.1872,21.7032,0.054400
247.0000,447.1755,21.5518,0.056377
248.0000,448.1538,21.3451,0.057532
249.0000,449.1185,21.0825,0.057489
250.0000,450.0672,20.7665,0.046012
251.0000,451.0003,20.4070,0.035206
252.0000,451.9201,20.0148,0.025560
253.0000,452.8296,19.5991,0.016749
254.0000,453.7320,19.1683,0.008435
255.0000,454.6307,18.7298,0.000503
256.0000,455.5293,18.2911,0.008120
257.0000,456.4315,17.8597,0.017133
258.0000,457.3410,17.4439,0.027240
259.0000,458.2614,17.0533,0.038990
260.0000,459.1965,16.6989,0.052995
261.0000,460.1490,16.3949,0.069542
262.0000,461.1198,16.1561,0.074739
263.0000,462.1057,15.9902,0.078145
264.0000,463.1015,15.9017,0.079401
265.0000,464.1012,15.8922,0.078272
266.0000,465.0986,15.9606,0.074915
267.0000,466.0881,16.1036,0.069808
268.0000,467.0653,16.3150,0.063610
269.0000,468.0271,16.5882,0.056953
270.0000,468.9719,16.9156,0.050337
271.0000,469.8989,17.2902,0.043020
272.0000,470.8096,17.7032,0.028187
273.0000,471.7082,18.1420,0.016071
274.0000,472.5995,18.5953,0.005530
275.0000,473.4883,19.0536,0.004314
276.0000,474.3791,19.5080,0.014196
277.0000,475.2763,19.9497,0.024822
278.0000,476.1841,20.3688,0.036963
279.0000,477.1069,20.7541,0.051500
280.0000,478.0483,21.0908,0.069479
281.0000,479.0108,21.3610,0.091799
282.0000,479.9939,21.5418,0.118515
283.0000,480.9911,21.6059,0.124254
284.0000,481.9888,21.5472,0.111850
285.0000,482.9739,21.3777,0.094932
286.0000,483.9386,21.1157,0.076803
287.0000,484.8805,20.7804,0.059551
288.0000,485.8008,20.3893,0.044034
289.0000,486.7029,19.9580,0.030306
290.0000,487.5916,19.4995,0.018067
291.0000,488.4717,19.0249,0.006896
292.0000,489.3486,18.5441,0.003636
293.0000,490.2272,18.0665,0.011015
294.0000,491.1107,17.5982,0.011985
295.0000,491.9998,17.1405,0.012982
296.0000,492.8948,16.6943,0.014011
297.0000,493.7959,16.2607,0.015075
298.0000,494.7034,15.8408,0.016178
299.0000,495.6176,15.4357,0.017326
300.0000,496.5388,15.0464,0.018520
301.0000,497.4669,14.6742,0.019763
302.0000,498.4022,14.3205,0.021056
303.0000,499.3448,13.9865,0.022401
304.0000,500.2946,13.6738,0.023794
305.0000,501.2516,13.3837,0.025234
306.0000,502.2156,13.1179,0.026716
307.0000,503.1863,12.8780,0.028230
308.0000,504.1635,12.6655,0.029767
309.0000,505.1465,12.4822,0.031313
310.0000,506.1348,12.3298,0.032849
311.0000,507.1275,12.2099,0.034354
312.0000,508.1238,12.1242,0.035803
313.0000,509.1225,12.0742,0.037169
314.0000,510.1223,12.0613,0.038421
315.0000,511.1219,12.0866,0.037018
316.0000,512.1199,12.1489,0.034184
317.0000,513.1152,12.2453,0.031378
318.0000,514.1070,12.3728,0.028632
319.0000,515.0948,12.5287,0.025969
320.0000,516.0781,12.7102,0.023401
321.0000,517.0570,12.9147,0.020932
322.0000,518.0313,13.1396,0.018559
323.0000,519.0013,13.3826,0.016276
324.0000,519.9673,13.6413,0.014071
325.0000,520.9295,13.9136,0.011932
326.0000,521.8884,14.1974,0.009843
327.0000,522.8444,14.4906,0.007788
328.0000,523.7982,14.7913,0.005747
329.0000,524.7502,15.0974,0.003700
330.0000,525.7010,15.4070,0.001626
331.0000,526.6514,15.7182,0.000500
332.0000,527.6019,16.0289,0.002706
333.0000,528.5532,16.3370,0.005020
334.0000,529.5061,16.6403,0.007478
335.0000,530.4612,16.9365,0.010117
336.0000,531.4193,17.2230,0.011589
337.0000,532.3806,17.4986,0.011078
338.0000,533.3449,17.7634,0.010361
339.0000,534.3118,18.0183,0.009463
340.0000,535.2812,18.2640,0.008422
341.0000,536.2526,18.5016,0.007283
342.0000,537.2256,18.7320,0.006096
343.0000,538.2001,18.9566,0.004910
344.0000,539.1756,19.1763,0.003766
345.0000,540.1520,19.3924,0.002696
346.0000,541.1290,19.6059,0.000903
347.0000,542.1058,19.8197,0.008705
348.0000,543.0808,20.0421,0.017753
349.0000,544.0516,20.2817,0.027751
350.0000,545.0153,20.5485,0.039910
351.0000,545.9675,20.8537,0.055866
352.0000,546.9009,21.2121,0.078159
353.0000,547.8029,21.6429,0.110684
354.0000,548.6509,22.1715,0.158262
355.0000,549.4034,22.8277,0.219219
356.0000,549.9941,23.6313,0.222222
357.0000,550.3567,24.5604,0.202786
358.0000,550.5245,25.5452,0.117516
359.0000,550.5734,26.5437,0.059150
360.0000,550.5618,27.5435,0.018610
361.0000,550.5307,28.5431,0.013047
362.0000,550.5125,29.5429,0.041469
363.0000,550.5358,30.5425,0.069936
364.0000,550.6290,31.5378,0.099680
365.0000,550.8206,32.5187,0.129067
366.0000,551.1362,33.4667,0.152548
367.0000,551.5853,34.3593,0.119558
368.0000,552.1376,35.1924,0.089018
369.0000,552.7627,35.9726,0.064955
370.0000,553.4374,36.7105,0.046050
371.0000,554.1456,37.4164,0.030621
372.0000,554.8752,38.1002,0.017148
373.0000,555.6165,38.7714,0.004250
374.0000,556.3606,39.4395,0.009540
375.0000,557.0981,40.1148,0.026166
376.0000,557.8174,40.8094,0.048734
377.0000,558.5011,41.5389,0.083164
378.0000,559.1204,42.3235,0.140625
379.0000,559.6199,43.1881,0.222222
380.0000,559.8984,44.1445,0.222222
381.0000,559.8535,45.1390,0.222222
382.0000,559.5233,46.0800,0.215811
383.0000,558.9971,46.9287,0.158085
384.0000,558.3417,47.6829,0.122352
385.0000,557.5985,48.3511,0.101115
386.0000,556.7910,48.9403,0.089096
387.0000,555.9340,49.4550,0.083352
388.0000,555.0369,49.8961,0.082527
389.0000,554.1063,50.2614,0.086259
390.0000,553.1477,50.5449,0.094521
391.0000,552.1671,50.7395,0.084896
392.0000,551.1736,50.8504,0.071219
393.0000,550.1745,50.8905,0.055465
394.0000,549.1748,50.8752,0.039251
395.0000,548.1763,50.8208,0.023555
396.0000,547.1793,50.7427,0.008813
397.0000,546.1831,50.6558,0.004846
398.0000,545.1865,50.5736,0.017429
399.0000,544.1887,50.5087,0.028909
400.0000,543.1894,50.4725,0.039152
401.0000,542.1894,50.4730,0.028423
402.0000,541.1899,50.5019,0.015482
403.0000,540.1908,50.5464,0.003337
404.0000,539.1920,50.5943,0.008925
405.0000,538.1928,50.6331,0.022298
406.0000,537.1929,50.6495,0.037953
407.0000,536.1933,50.6275,0.057427
408.0000,535.1966,50.5479,0.082540
409.0000,534.2103,50.3858,0.114959
410.0000,533.2496,50.1109,0.153796
411.0000,532.3423,49.6934,0.167770
412.0000,531.5158,49.1323,0.141421
413.0000,530.7762,48.4602,0.110572
414.0000,530.1152,47.7104,0.082274
415.0000,529.5183,46.9083,0.058660
416.0000,528.9697,46.0724,0.039310
417.0000,528.4546,45.2153,0.023042
418.0000,527.9594,44.3465,0.008643
419.0000,527.4718,43.4734,0.004981
420.0000,526.9799,42.6028,0.018855
421.0000,526.4716,41.7417,0.033986
422.0000,525.9342,40.8985,0.051449
423.0000,525.3541,40.0841,0.065015
424.0000,524.7226,39.3090,0.072401
425.0000,524.0367,38.5816,0.081660
426.0000,523.2935,37.9131,0.093067
427.0000,522.4916,37.3163,0.106639
428.0000,521.6305,36.8088,0.121875
429.0000,520.7144,36.4097,0.137193
430.0000,519.7525,36.1394,0.149696
431.0000,518.7613,36.0151,0.155794
432.0000,517.7627,36.0454,0.153147
433.0000,516.7803,36.2271,0.135289
434.0000,515.8304,36.5379,0.098274
435.0000,514.9157,36.9413,0.070396
436.0000,514.0317,37.4085,0.049774
437.0000,513.1722,37.9195,0.034160
438.0000,512.3309,38.4599,0.021795
439.0000,511.5015,39.0185,0.011407
440.0000,510.6786,39.5867,0.002082
441.0000,509.8569,40.1566,0.006907
442.0000,509.0312,40.7208,0.016224
443.0000,508.1966,41.2715,0.026547
444.0000,507.3474,41.7996,0.038705
445.0000,506.4785,42.2945,0.052201
446.0000,505.5855,42.7441,0.057092
447.0000,504.6683,43.1421,0.062130
448.0000,503.7282,43.4825,0.067108
449.0000,502.7674,43.7591,0.071742
450.0000,501.7893,43.9660,0.075680
451.0000,500.7984,44.0985,0.078565
452.0000,499.8001,44.1531,0.080089
453.0000,498.8007,44.1275,0.080072
454.0000,497.8065,44.0225,0.078520
455.0000,496.8236,43.8396,0.075608
456.0000,495.8569,43.5848,0.061196
457.0000,494.9075,43.2712,0.046924
458.0000,493.9738,42.9131,0.034238
459.0000,493.0530,42.5231,0.022980
460.0000,492.1414,42.1121,0.012858
461.0000,491.2352,41.6892,0.003542
462.0000,490.3305,41.2632,0.005282
463.0000,489.4236,40.8419,0.013889
464.0000,488.5110,40.4332,0.022508
465.0000,487.5893,40.0452,0.031318
466.0000,486.6560,39.6864,0.040414
467.0000,485.7091,39.3652,0.045699
468.0000,484.7485,39.0876,0.048285
469.0000,483.7756,38.8568,0.051184
470.0000,482.7921,38.6761,0.054365
471.0000,481.8004,38.5491,0.057778
472.0000,480.8030,38.4795,0.061341
473.0000,479.8032,38.4712,0.064934
474.0000,478.8050,38.5278,0.068394
475.0000,477.8129,38.6524,0.071518
476.0000,476.8324,38.8477,0.074080
477.0000,475.8690,39.1148,0.068496
478.0000,474.9258,39.4466,0.053112
479.0000,474.0015,39.8280,0.038764
480.0000,473.0927,40.2451,0.025470
481.0000,472.1948,40.6853,0.012951
482.0000,471.3027,41.1371,0.001204
483.0000,470.4109,41.5896,0.011561
484.0000,469.5140,42.0317,0.024574
485.0000,468.6064,42.4515,0.038779
486.0000,467.6833,42.8357,0.054587
487.0000,466.7405,43.1688,0.072101
488.0000,465.7764,43.4329,0.087440
489.0000,464.7933,43.6146,0.080980
490.0000,463.7988,43.7163,0.072733
491.0000,462.7994,43.7455,0.063594
492.0000,461.8001,43.7112,0.054279
493.0000,460.8042,43.6227,0.045253
